draught,speed,beaufort,consumption,imo
7.4,5.0,0.0,1.4,456789
7.4,5.0,1.0,1.5,456789
7.4,5.0,2.0,1.8,456789
7.4,5.0,3.0,2.5,456789
7.4,5.0,4.0,4.0,456789
7.4,5.0,5.0,6.6,456789
7.4,5.5,0.0,1.8,456789
7.4,5.5,1.0,1.9,456789
7.4,5.5,2.0,2.3,456789
7.4,5.5,3.0,3.1,456789
7.4,5.5,4.0,4.8,456789
7.4,5.5,5.0,7.7,456789
7.4,6.0,0.0,2.4,456789
7.4,6.0,1.0,2.5,456789
7.4,6.0,2.0,2.9,456789
7.4,6.0,3.0,3.8,456789
7.4,6.0,4.0,5.7,456789
7.4,6.0,5.0,8.9,456789
7.4,6.5,0.0,3.0,456789
7.4,6.5,1.0,3.1,456789
7.4,6.5,2.0,3.6,456789
7.4,6.5,3.0,4.6,456789
7.4,6.5,4.0,6.6,456789
7.4,6.5,5.0,10.1,456789
7.4,7.0,0.0,3.7,456789
7.4,7.0,1.0,3.9,456789
7.4,7.0,2.0,4.4,456789
7.4,7.0,3.0,5.5,456789
7.4,7.0,4.0,7.7,456789
7.4,7.0,5.0,11.5,456789
7.4,7.5,0.0,4.6,456789
7.4,7.5,1.0,4.7,456789
7.4,7.5,2.0,5.3,456789
7.4,7.5,3.0,6.6,456789
7.4,7.5,4.0,8.9,456789
7.4,7.5,5.0,12.9,456789
7.4,8.0,0.0,5.5,456789
7.4,8.0,1.0,5.7,456789
7.4,8.0,2.0,6.3,456789
7.4,8.0,3.0,7.7,456789
7.4,8.0,4.0,10.2,456789
7.4,8.0,5.0,14.5,456789
7.4,8.5,0.0,6.6,456789
7.4,8.5,1.0,6.8,456789
7.4,8.5,2.0,7.5,456789
7.4,8.5,3.0,8.9,456789
7.4,8.5,4.0,11.6,456789
7.4,8.5,5.0,16.1,456789
7.4,9.0,0.0,7.8,456789
7.4,9.0,1.0,8.0,456789
7.4,9.0,2.0,8.7,456789
7.4,9.0,3.0,10.3,456789
7.4,9.0,4.0,13.1,456789
7.4,9.0,5.0,17.8,456789
7.4,9.5,0.0,9.1,456789
7.4,9.5,1.0,9.3,456789
7.4,9.5,2.0,10.1,456789
7.4,9.5,3.0,11.7,456789
7.4,9.5,4.0,14.7,456789
7.4,9.5,5.0,19.5,456789
7.4,10.0,0.0,10.5,456789
7.4,10.0,1.0,10.7,456789
7.4,10.0,2.0,11.6,456789
7.4,10.0,3.0,13.3,456789
7.4,10.0,4.0,16.3,456789
7.4,10.0,5.0,21.3,456789
7.4,10.5,0.0,12.0,456789
7.4,10.5,1.0,12.3,456789
7.4,10.5,2.0,13.2,456789
7.4,10.5,3.0,14.9,456789
7.4,10.5,4.0,18.1,456789
7.4,10.5,5.0,23.2,456789
7.4,11.0,0.0,13.7,456789
7.4,11.0,1.0,14.0,456789
7.4,11.0,2.0,14.9,456789
7.4,11.0,3.0,16.7,456789
7.4,11.0,4.0,19.9,456789
7.4,11.0,5.0,25.2,456789
7.4,11.5,0.0,15.6,456789
7.4,11.5,1.0,15.9,456789
7.4,11.5,2.0,16.8,456789
7.4,11.5,3.0,18.7,456789
7.4,11.5,4.0,22.1,456789
7.4,11.5,5.0,27.5,456789
7.4,12.0,0.0,17.7,456789
7.4,12.0,1.0,18.0,456789
7.4,12.0,2.0,19.0,456789
7.4,12.0,3.0,20.9,456789
7.4,12.0,4.0,24.4,456789
7.4,12.0,5.0,30.1,456789
7.4,12.5,0.0,19.9,456789
7.4,12.5,1.0,20.3,456789
7.4,12.5,2.0,21.3,456789
7.4,12.5,3.0,23.3,456789
7.4,12.5,4.0,26.9,456789
7.4,12.5,5.0,33.0,456789
7.4,13.0,0.0,22.4,456789
7.4,13.0,1.0,22.7,456789
7.4,13.0,2.0,23.8,456789
7.4,13.0,3.0,25.9,456789
7.4,13.0,4.0,29.7,456789
7.4,13.0,5.0,36.0,456789
7.4,13.5,0.0,25.2,456789
7.4,13.5,1.0,25.5,456789
7.4,13.5,2.0,26.7,456789
7.4,13.5,3.0,28.9,456789
7.4,13.5,4.0,33.0,456789
7.4,13.5,5.0,39.5,456789
7.4,14.0,0.0,28.3,456789
7.4,14.0,1.0,28.7,456789
7.4,14.0,2.0,29.9,456789
7.4,14.0,3.0,32.3,456789
7.4,14.0,4.0,36.5,456789
7.4,14.0,5.0,43.1,456789
7.4,14.5,0.0,31.8,456789
7.4,14.5,1.0,32.2,456789
7.4,14.5,2.0,33.5,456789
7.4,14.5,3.0,36.1,456789
7.4,14.5,4.0,40.4,456789
7.4,14.5,5.0,47.0,456789
7.4,15.0,0.0,36.0,456789
7.4,15.0,1.0,36.5,456789
7.4,15.0,2.0,37.8,456789
7.4,15.0,3.0,40.4,456789
7.4,15.0,4.0,44.7,456789
7.4,15.0,5.0,52.2,456789
7.4,15.5,0.0,40.5,456789
7.4,15.5,1.0,41.0,456789
7.4,15.5,2.0,42.4,456789
7.4,15.5,3.0,45.1,456789
7.4,15.5,4.0,49.9,456789
7.4,15.5,5.0,57.8,456789
12.19,1.0,0.0,0.0,456789
12.19,1.0,1.0,0.0,456789
12.19,1.0,2.0,0.1,456789
12.19,1.0,3.0,0.1,456789
12.19,1.0,4.0,0.4,456789
12.19,1.0,5.0,0.9,456789
12.19,1.5,0.0,0.1,456789
12.19,1.5,1.0,0.1,456789
12.19,1.5,2.0,0.1,456789
12.19,1.5,3.0,0.3,456789
12.19,1.5,4.0,0.6,456789
12.19,1.5,5.0,1.2,456789
12.19,2.0,0.0,0.1,456789
12.19,2.0,1.0,0.2,456789
12.19,2.0,2.0,0.2,456789
12.19,2.0,3.0,0.4,456789
12.19,2.0,4.0,0.8,456789
12.19,2.0,5.0,1.7,456789
12.19,2.5,0.0,0.3,456789
12.19,2.5,1.0,0.3,456789
12.19,2.5,2.0,0.4,456789
12.19,2.5,3.0,0.6,456789
12.19,2.5,4.0,1.2,456789
12.19,2.5,5.0,2.1,456789
12.19,3.0,0.0,0.5,456789
12.19,3.0,1.0,0.5,456789
12.19,3.0,2.0,0.6,456789
12.19,3.0,3.0,0.9,456789
12.19,3.0,4.0,1.6,456789
12.19,3.0,5.0,2.7,456789
12.19,3.5,0.0,0.8,456789
12.19,3.5,1.0,0.8,456789
12.19,3.5,2.0,1.0,456789
12.19,3.5,3.0,1.3,456789
12.19,3.5,4.0,2.1,456789
12.19,3.5,5.0,3.4,456789
12.19,4.0,0.0,1.2,456789
12.19,4.0,1.0,1.2,456789
12.19,4.0,2.0,1.4,456789
12.19,4.0,3.0,1.8,456789
12.19,4.0,4.0,2.7,456789
12.19,4.0,5.0,4.3,456789
12.19,4.5,0.0,1.6,456789
12.19,4.5,1.0,1.7,456789
12.19,4.5,2.0,1.9,456789
12.19,4.5,3.0,2.5,456789
12.19,4.5,4.0,3.4,456789
12.19,4.5,5.0,5.2,456789
12.19,5.0,0.0,2.1,456789
12.19,5.0,1.0,2.2,456789
12.19,5.0,2.0,2.5,456789
12.19,5.0,3.0,3.1,456789
12.19,5.0,4.0,4.2,456789
12.19,5.0,5.0,6.1,456789
12.19,5.5,0.0,2.8,456789
12.19,5.5,1.0,2.9,456789
12.19,5.5,2.0,3.2,456789
12.19,5.5,3.0,3.9,456789
12.19,5.5,4.0,5.2,456789
12.19,5.5,5.0,7.3,456789
12.19,6.0,0.0,3.7,456789
12.19,6.0,1.0,3.8,456789
12.19,6.0,2.0,4.1,456789
12.19,6.0,3.0,4.9,456789
12.19,6.0,4.0,6.3,456789
12.19,6.0,5.0,8.6,456789
12.19,6.5,0.0,4.7,456789
12.19,6.5,1.0,4.8,456789
12.19,6.5,2.0,5.2,456789
12.19,6.5,3.0,6.0,456789
12.19,6.5,4.0,7.5,456789
12.19,6.5,5.0,10.1,456789
12.19,7.0,0.0,5.8,456789
12.19,7.0,1.0,5.9,456789
12.19,7.0,2.0,6.4,456789
12.19,7.0,3.0,7.3,456789
12.19,7.0,4.0,8.9,456789
12.19,7.0,5.0,11.7,456789
12.19,7.5,0.0,7.1,456789
12.19,7.5,1.0,7.2,456789
12.19,7.5,2.0,7.7,456789
12.19,7.5,3.0,8.7,456789
12.19,7.5,4.0,10.5,456789
12.19,7.5,5.0,13.4,456789
12.19,8.0,0.0,8.6,456789
12.19,8.0,1.0,8.7,456789
12.19,8.0,2.0,9.3,456789
12.19,8.0,3.0,10.3,456789
12.19,8.0,4.0,12.2,456789
12.19,8.0,5.0,15.3,456789
12.19,8.5,0.0,10.1,456789
12.19,8.5,1.0,10.3,456789
12.19,8.5,2.0,10.9,456789
12.19,8.5,3.0,12.1,456789
12.19,8.5,4.0,14.1,456789
12.19,8.5,5.0,17.3,456789
12.19,9.0,0.0,11.9,456789
12.19,9.0,1.0,12.1,456789
12.19,9.0,2.0,12.7,456789
12.19,9.0,3.0,13.9,456789
12.19,9.0,4.0,16.0,456789
12.19,9.0,5.0,19.4,456789
12.19,9.5,0.0,13.8,456789
12.19,9.5,1.0,14.0,456789
12.19,9.5,2.0,14.6,456789
12.19,9.5,3.0,15.9,456789
12.19,9.5,4.0,18.1,456789
12.19,9.5,5.0,21.6,456789
12.19,10.0,0.0,15.8,456789
12.19,10.0,1.0,16.0,456789
12.19,10.0,2.0,16.7,456789
12.19,10.0,3.0,18.1,456789
12.19,10.0,4.0,20.4,456789
12.19,10.0,5.0,23.9,456789
12.19,10.5,0.0,18.1,456789
12.19,10.5,1.0,18.3,456789
12.19,10.5,2.0,19.1,456789
12.19,10.5,3.0,20.5,456789
12.19,10.5,4.0,22.8,456789
12.19,10.5,5.0,26.5,456789
12.19,11.0,0.0,20.5,456789
12.19,11.0,1.0,20.8,456789
12.19,11.0,2.0,21.6,456789
12.19,11.0,3.0,23.0,456789
12.19,11.0,4.0,25.4,456789
12.19,11.0,5.0,29.2,456789
12.19,11.5,0.0,23.2,456789
12.19,11.5,1.0,23.5,456789
12.19,11.5,2.0,24.3,456789
12.19,11.5,3.0,25.8,456789
12.19,11.5,4.0,28.3,456789
12.19,11.5,5.0,32.3,456789
12.19,12.0,0.0,26.1,456789
12.19,12.0,1.0,26.4,456789
12.19,12.0,2.0,27.3,456789
12.19,12.0,3.0,28.8,456789
12.19,12.0,4.0,31.4,456789
12.19,12.0,5.0,35.6,456789
12.19,12.5,0.0,29.3,456789
12.19,12.5,1.0,29.6,456789
12.19,12.5,2.0,30.5,456789
12.19,12.5,3.0,32.2,456789
12.19,12.5,4.0,34.9,456789
12.19,12.5,5.0,39.3,456789
12.19,13.0,0.0,32.8,456789
12.19,13.0,1.0,33.1,456789
12.19,13.0,2.0,34.1,456789
12.19,13.0,3.0,35.9,456789
12.19,13.0,4.0,38.8,456789
12.19,13.0,5.0,43.3,456789
12.19,13.5,0.0,36.7,456789
12.19,13.5,1.0,37.1,456789
12.19,13.5,2.0,38.1,456789
12.19,13.5,3.0,40.0,456789
12.19,13.5,4.0,43.0,456789
12.19,13.5,5.0,47.7,456789
12.19,14.0,0.0,41.0,456789
12.19,14.0,1.0,41.5,456789
12.19,14.0,2.0,42.6,456789
12.19,14.0,3.0,44.6,456789
12.19,14.0,4.0,47.7,456789
12.19,14.0,5.0,52.3,456789
12.19,14.5,0.0,45.8,456789
12.19,14.5,1.0,46.2,456789
12.19,14.5,2.0,47.4,456789
12.19,14.5,3.0,49.4,456789
12.19,14.5,4.0,52.6,456789
12.19,14.5,5.0,57.7,456789
12.19,15.0,0.0,51.1,456789
12.19,15.0,1.0,51.6,456789
12.19,15.0,2.0,52.8,456789
12.19,15.0,3.0,54.9,456789
12.19,15.0,4.0,58.5,456789
12.19,15.0,5.0,64.2,456789
12.19,15.5,0.0,56.9,456789
12.19,15.5,1.0,57.5,456789
12.19,15.5,2.0,58.9,456789
12.19,15.5,3.0,61.4,456789
12.19,15.5,4.0,65.3,456789
12.19,15.5,5.0,70.8,456789
